,
,■ 欢迎使用匿名科创地面站!!  匿名科创: www.anotc.com  匿名论坛: www.anobbs.com ■,
USER_DATA1,USER_DATA2,USER_DATA3,USER_DATA4,USER_DATA5,USER_DATA6,USER_DATA7,USER_DATA8,
156.282684326172,15620,170460560,203227264,203161200,170393440,-81.6349105834961,-78.9201278686523,
156.263931274414,15618,170460704,203227648,203161568,170393600,-82.4783020019531,-79.1360549926758,
156.259231567383,15617,170460352,203227472,203161408,170393248,-81.8290252685547,-78.879020690918,
156.254547119141,15617,170460512,203227328,203161248,170393408,-82.3831787109375,-79.123046875,
156.27799987793,15619,170460688,203227648,203161584,170393568,-81.7527236938477,-78.8688049316406,
156.249862670898,15616,170460320,203227504,203161440,170393216,-82.5065383911133,-79.0692901611328,
156.27799987793,15619,170460496,203227328,203161264,170393376,-82.3072891235352,-79.2705078125,
156.259231567383,15617,170460656,203227184,203161104,170393552,-82.3124313354492,-78.6499252319336,
156.273315429688,15619,170460320,203227520,203161440,170393200,-82.3966751098633,-79.0182952880859,
156.263931274414,15618,170460480,203227344,203161280,170393376,-82.5562057495117,-79.451057434082,
156.259231567383,15617,170460640,203227184,203161120,170393536,-82.5404357910156,-78.899528503418,
156.282684326172,15620,170460304,203227520,203161456,170393184,-81.9870071411133,-78.6615829467773,
156.259231567383,15617,170460464,203227360,203161296,170393360,-82.4096755981445,-78.7322006225586,
156.268615722656,15618,170460640,203227200,203161120,170393536,-82.6183700561523,-78.9491424560547,
156.296768188477,15621,170460320,203227520,203161440,170393200,-81.9058532714844,-78.9118804931641,
156.263931274414,15618,170460480,203227344,203161280,170393376,-82.8124771118164,-79.2749862670898,
156.27799987793,15619,170460672,203227664,203161600,170393552,-81.9859237670898,-78.6693725585938,
156.263931274414,15618,170460352,203227472,203161408,170393248,-81.9285049438477,-78.9387588500977,
156.259231567383,15617,170460544,203227280,203161216,170393424,-82.5795669555664,-79.2749862670898,
156.27799987793,15619,170460224,203227600,203161536,170393104,-82.1207733154297,-78.8281784057617,
156.27799987793,15619,170460416,203227408,203161344,170393296,-81.9923553466797,-78.6849899291992,
156.282684326172,15620,170460624,203227216,203161136,170393504,-81.8979187011719,-78.7719345092773,
156.292068481445,15621,170460320,203227520,203161440,170393184,-82.4691772460938,-79.2437286376953,
156.273315429688,15619,170460512,203227328,203161248,170393408,-82.3343963623047,-78.9429092407227,
156.268615722656,15618,170460704,203227632,203161568,170393600,-82.9653015136719,-78.9512176513672,
156.27799987793,15619,170460416,203227424,203161344,170393296,-82.2123794555664,-78.9846267700195,
156.292068481445,15621,170460624,203227200,203161136,170393504,-82.4720840454102,-79.1840667724609,
156.273315429688,15619,170460320,203227520,203161440,170393216,-82.2015838623047,-78.9699783325195,
156.263931274414,15618,170460528,203227296,203161232,170393408,-82.0672760009766,-78.8667678833008,
156.292068481445,15621,170460240,203227584,203161520,170393120,-81.8739318847656,-78.7579879760742,
156.282684326172,15620,170460448,203227392,203161312,170393344,-82.31982421875,-78.8545455932617,
156.273315429688,15619,170460672,203227152,203161088,170393552,-81.9466323852539,-78.9909210205078,
156.273315429688,15619,170460384,203227456,203161376,170393280,-82.0735473632813,-79.0267486572266,
156.254547119141,15617,170460592,203227216,203161168,170393472,-82.1138305664063,-78.9118804931641,
156.27799987793,15619,170460320,203227520,203161440,170393200,-82.8178482055664,-79.5050659179688,
156.27799987793,15619,170460528,203227296,203161232,170393408,-82.5755844116211,-79.3313751220703,
156.282684326172,15620,170460256,203227584,203161504,170393136,-82.4439086914063,-79.3223037719727,
156.263931274414,15618,170460480,203227344,203161280,170393360,-81.7810440063477,-78.8872146606445,
156.259231567383,15617,170460704,203227648,203161568,170393600,-82.8119201660156,-79.2862014770508,
156.27799987793,15619,170460432,203227392,203161328,170393312,-81.9322052001953,-79.0182952880859,
156.263931274414,15618,170460656,203227168,203161104,170393536,-82.0262145996094,-78.9346084594727,
156.259231567383,15617,170460384,203227440,203161376,170393280,-82.4667282104492,-79.0352249145508,
156.287384033203,15620,170460640,203227200,203161120,170393520,-82.5566558837891,-79.3862075805664,
156.268615722656,15618,170460352,203227472,203161408,170393248,-82.4200973510742,-79.3177719116211,
156.292068481445,15621,170460592,203227232,203161168,170393472,-82.8163375854492,-79.4557266235352,
156.259231567383,15617,170460320,203227504,203161440,170393216,-82.7145309448242,-79.1950531005859,
156.268615722656,15618,170460576,203227264,203161184,170393472,-82.4940490722656,-79.1036148071289,
156.268615722656,15618,170460320,203227504,203161440,170393200,-82.3825531005859,-78.8913116455078,
156.282684326172,15620,170460576,203227264,203161184,170393472,-82.8171768188477,-79.2370529174805,
156.263931274414,15618,170460320,203227504,203161440,170393216,-82.7959671020508,-79.2038650512695,
156.263931274414,15618,170460592,203227232,203161168,170393472,-82.8838043212891,-79.4440612792969,
156.282684326172,15620,170460352,203227472,203161408,170393232,-81.7748184204102,-78.870849609375,
156.259231567383,15617,170460624,203227200,203161136,170393504,-82.0345230102539,-78.9533004760742,
156.282684326172,15620,170460384,203227440,203161376,170393264,-82.6598510742188,-79.20166015625,
156.273315429688,15619,170460640,203227184,203161120,170393536,-82.2682342529297,-79.0077438354492,
156.268615722656,15618,170460416,203227392,203161344,170393296,-81.7162170410156,-78.7819290161133,
156.273315429688,15619,170460688,203227648,203161584,170393584,-82.5164642333984,-79.2952041625977,
156.273315429688,15619,170460448,203227376,203161312,170393344,-82.3974533081055,-78.9221954345703,
156.263931274414,15618,170460208,203227616,203161552,170393088,-81.9704360961914,-78.8688049316406,
156.268615722656,15618,170460496,203227328,203161264,170393376,-82.6654434204102,-79.4347534179688,
156.268615722656,15618,170460256,203227568,203161504,170393152,-82.6451950073242,-79.0098495483398,
156.287384033203,15620,170460544,203227264,203161216,170393424,-82.0420837402344,-79.0500946044922,
156.273315429688,15619,170460320,203227504,203161440,170393216,-82.7230224609375,-78.8831176757813,
156.263931274414,15618,170460624,203227200,203161136,170393504,-82.3311157226563,-79.3132476806641,
156.259231567383,15617,170460400,203227408,203161360,170393296,-81.7254486083984,-78.967887878418,
156.259231567383,15617,170460704,203227616,203161568,170393600,-82.2590789794922,-79.011962890625,
156.259231567383,15617,170460512,203227312,203161248,170393392,-82.2525787353516,-79.0778427124023,
156.287384033203,15620,170460304,203227520,203161456,170393184,-82.1864852905273,-79.3200378417969,
156.263931274414,15618,170460608,203227216,203161152,170393488,-81.8658905029297,-79.0309829711914,
156.259231567383,15617,170460384,203227440,203161376,170393280,-82.743034362793,-79.20166015625,
156.292068481445,15621,170460688,203227648,203161584,170393568,-81.91064453125,-79.047966003418,
156.27799987793,15619,170460480,203227344,203161280,170393360,-82.0643615722656,-79.2104797363281,
156.273315429688,15619,170460272,203227552,203161488,170393152,-82.6713790893555,-79.3450164794922,
156.268615722656,15618,170460576,203227248,203161184,170393472,-82.4780197143555,-79.2304000854492,
156.273315429688,15619,170460384,203227440,203161376,170393280,-82.2065734863281,-78.8545455932617,
156.27799987793,15619,170460704,203227632,203161568,170393600,-82.5647048950195,-78.9098205566406,
156.287384033203,15620,170460512,203227328,203161248,170393392,-82.8029632568359,-79.0246353149414,
156.287384033203,15620,170460320,203227504,203161440,170393200,-82.7753753662109,-79.1317138671875,
156.287384033203,15620,170460640,203227200,203161120,170393520,-82.6754913330078,-78.9574661254883,
156.254547119141,15617,170460448,203227360,203161312,170393344,-82.3738861083984,-78.9993209838867,
156.268615722656,15618,170460288,203227536,203161472,170393168,-82.2948684692383,-79.1578140258789,
156.287384033203,15620,170460624,203227200,203161136,170393488,-82.1479873657227,-78.9762496948242,
156.259231567383,15617,170460432,203227376,203161328,170393328,-82.8411560058594,-78.8954162597656,
156.27799987793,15619,170460272,203227536,203161488,170393152,-82.0347061157227,-78.8080062866211,
156.27799987793,15619,170460624,203227200,203161136,170393504,-82.3954315185547,-79.0714263916016,
156.273315429688,15619,170460448,203227376,203161312,170393344,-82.2622604370117,-78.8484497070313,
156.282684326172,15620,170460288,203227520,203161472,170393168,-82.1385040283203,-78.8974761962891,
156.268615722656,15618,170460640,203227184,203161120,170393520,-82.5912551879883,-78.8688049316406,
156.259231567383,15617,170460480,203227328,203161280,170393360,-82.1113128662109,-78.8281784057617,
156.27799987793,15619,170460320,203227504,203161440,170393200,-83.0146713256836,-79.0692901611328,
156.292068481445,15621,170460688,203227648,203161584,170393568,-82.0495758056641,-78.9015808105469,
156.273315429688,15619,170460528,203227280,203161232,170393408,-81.8943099975586,-78.6810836791992,
156.263931274414,15618,170460384,203227424,203161376,170393280,-82.4447555541992,-79.0522232055664,
156.292068481445,15621,170460256,203227584,203161504,170393120,-82.3481140136719,-79.0225219726563,
156.301452636719,15622,170460640,203227200,203161120,170393504,-82.7860641479492,-79.3908081054688,
156.287384033203,15620,170460496,203227328,203161264,170393360,-81.9303512573242,-79.0928573608398,
156.287384033203,15620,170460368,203227456,203161392,170393232,-82.0002670288086,-78.9201278686523,
156.292068481445,15621,170460224,203227600,203161536,170393088,-82.0606231689453,-79.223747253418,
156.273315429688,15619,170460608,203227200,203161152,170393488,-81.7438888549805,-78.8769760131836,
156.287384033203,15620,170460480,203227328,203161280,170393360,-82.3249816894531,-79.0864181518555,
156.301452636719,15622,170460368,203227456,203161392,170393232,-82.6685333251953,-79.4744567871094,
156.292068481445,15621,170460256,203227584,203161504,170393120,-82.148811340332,-78.8913116455078,
156.268615722656,15618,170460640,203227168,203161120,170393536,-82.1053161621094,-78.8872146606445,
156.268615722656,15618,170460528,203227280,203161232,170393408,-81.8369064331055,-78.9616317749023,
156.287384033203,15620,170460432,203227392,203161328,170393296,-82.0449981689453,-78.9993209838867,
156.282684326172,15620,170460320,203227520,203161440,170393200,-82.5585327148438,-78.9595489501953,
